DATE,GDPC1,MEDCPIM159SFRBCLE
1987-12-01,,3.9368447667368103
1988-01-01,9367.502,3.76765592644981
1988-02-01,,3.7316951912340897
1988-03-01,,3.783203654277
1988-04-01,9490.594,3.78358616487875
1988-05-01,,3.69271554415422
1988-06-01,,3.84308844520262
1988-07-01,9546.206,3.87483877256651
1988-08-01,,4.03768709386523
1988-09-01,,4.019692320773149
1988-10-01,9673.405,4.0603419873398
1988-11-01,,4.02935416707828
1988-12-01,,4.1224613453765295
1989-01-01,9771.725,4.23622800036425
1989-02-01,,4.42845920632731
1989-03-01,,4.4796115925345195
1989-04-01,9846.293,4.49137234730348
1989-05-01,,4.65618467423796
1989-06-01,,4.5877805899206905
1989-07-01,9919.228,4.69086463345825
1989-08-01,,4.488371708959019
1989-09-01,,4.3601028944200095
1989-10-01,9938.767,4.4345750551942
1989-11-01,,4.535964296254
1989-12-01,,4.52087628766056
1990-01-01,10047.386,4.565263970256719
1990-02-01,,4.5463759648802995
1990-03-01,,4.56426363106497
1990-04-01,10083.855,4.60036202670395
1990-05-01,,4.48205455432797
1990-06-01,,4.6295459467221995
1990-07-01,10090.569,4.58729718366737
1990-08-01,,4.82245310258891
1990-09-01,,4.76689825500789
1990-10-01,9998.704,4.71564201562709
1990-11-01,,4.669577359621369
1990-12-01,,4.77703416733171
1991-01-01,9951.916,4.805757310151249
1991-02-01,,4.753482784850441
1991-03-01,,4.6202505501683
1991-04-01,10029.51,4.45814150352091
1991-05-01,,4.50008108393465
1991-06-01,,4.2726318275611
1991-07-01,10080.195,4.201345827212521
1991-08-01,,3.98727006029347
1991-09-01,,4.091929869212629
1991-10-01,10115.329,3.90609836868323
1991-11-01,,3.96257024160487
1991-12-01,,3.7617204714365
1992-01-01,10236.435,3.4426535644365197
1992-02-01,,3.2956158718193
1992-03-01,,3.30655310641215
1992-04-01,10347.429,3.2275666249554504
1992-05-01,,3.08935384231022
1992-06-01,,3.20443617258255
1992-07-01,10449.673,2.9824953384122206
1992-08-01,,2.9011808709567704
1992-09-01,,2.71805991746747
1992-10-01,10558.648,2.83843967044204
1992-11-01,,2.75459140908001
1992-12-01,,2.69030436299833
1993-01-01,10576.275,2.83306529568936
1993-02-01,,2.80862258656118
1993-03-01,,2.6347984244713905
1993-04-01,10637.847,2.7730683950681203
1993-05-01,,2.78748503631432
1993-06-01,,2.6434399646367797
1993-07-01,10688.606,2.63590674638357
1993-08-01,,2.67032200679211
1993-09-01,,2.7096560035239703
1993-10-01,10833.987,2.70272402701208
1993-11-01,,2.7325201039438
1993-12-01,,2.81115283943196
1994-01-01,10939.116,2.7503985586765403
1994-02-01,,2.85934396446683
1994-03-01,,2.89918706864893
1994-04-01,11087.361,2.7679673052976
1994-05-01,,2.7618367785733096
1994-06-01,,2.7907036530654
1994-07-01,11152.176,2.82270909566329
1994-08-01,,2.90506303606628
1994-09-01,,3.0227349175413
1994-10-01,11279.932,2.8994402785112596
1994-11-01,,2.9617864434446
1994-12-01,,2.8271671000515495
1995-01-01,11319.951,2.9493717638166896
1995-02-01,,2.9271386576245098
1995-03-01,,3.01819957971152
1995-04-01,11353.721,3.11350001758608
1995-05-01,,3.16825665146303
1995-06-01,,3.1015726954991605
1995-07-01,11450.31,3.1823076312471197
1995-08-01,,3.13431158070734
1995-09-01,,3.09414032864141
1995-10-01,11528.067,3.17836859128231
1995-11-01,,3.0353812018901096
1995-12-01,,3.15034555807634
1996-01-01,11614.418,3.11642205374787
1996-02-01,,3.05646943188864
1996-03-01,,3.04365265710134
1996-04-01,11808.14,3.00004139768875
1996-05-01,,2.9483728920626495
1996-06-01,,2.98290369318124
1996-07-01,11914.063,2.9965252806174503
1996-08-01,,2.9446170383323502
1996-09-01,,2.9335595316664302
1996-10-01,12037.775,2.9048451242783795
1996-11-01,,2.97369153634952
1996-12-01,,2.9418990257354904
1997-01-01,12115.472,2.87972914368981
1997-02-01,,2.8566412861876804
1997-03-01,,2.8435502381692004
1997-04-01,12317.221,2.83144586979973
1997-05-01,,2.80626160028015
1997-06-01,,2.80519464325473
1997-07-01,12471.01,2.70753936005701
1997-08-01,,2.7070473058075297
1997-09-01,,2.6572699586324
1997-10-01,12577.495,2.62391355715657
1997-11-01,,2.5585244189873
1997-12-01,,2.63087120732515
1998-01-01,12703.742,2.58056352730482
1998-02-01,,2.6245369212792595
1998-03-01,,2.58206114483857
1998-04-01,12821.339,2.5226991021539
1998-05-01,,2.55611049268418
1998-06-01,,2.60811220170214
